id,theme_a,theme_b,difficulty,category,reversible
1,Musique quand tu te sens invincible,Musique quand tu veux reprendre confiance en toi,3,Émotions,TRUE
2,Musique pour pleurer après une mauvaise journée,Musique pour repenser aux bons moments de ton enfance,2,Émotions,TRUE
3,Musique pour laisser sortir ta colère,Musique pour contenir ta colère sans exploser,2,Émotions,TRUE
4,Musique quand tu es amoureux,Musique quand quelqu’un commence à te manquer,2,Émotions,TRUE
5,Musique pour reconstruire ta vie après un échec,Musique pour claquer la porte et partir sans te retourner,2,Émotions,TRUE
6,Musique pour savourer ta liberté retrouvée,Musique pour rêver de liberté quand tu te sens coincé,2,Émotions,TRUE
7,Musique quand tu as gagné,Musique quand tu te sens capable de gagner,2,Émotions,TRUE
8,Musique quand tu es seul mais bien,Musique quand la solitude commence à peser,2,Émotions,TRUE
9,Musique pour sourire en repensant à tes erreurs de jeunesse,Musique pour regretter une occasion que tu as laissée passer,2,Émotions,TRUE
10,Musique pour calmer une crise de panique,Musique pour laisser ton esprit partir dans un rêve,2,Émotions,TRUE
11,Musique pour garder espoir quand rien ne s’arrange,Musique pour savourer le premier signe que tout s’arrange,3,Émotions,TRUE
12,Musique quand tu as le cœur brisé,Musique quand tu veux oublier quelqu’un,2,Émotions,TRUE
13,Musique quand personne ne comprend ta colère,Musique quand tu choisis de t’isoler pour retrouver le calme,2,Émotions,TRUE
14,Musique quand tu es jaloux,Musique quand tu regrettes quelqu’un,2,Émotions,TRUE
15,Musique pour savourer une réussite sans rien dire,Musique pour afficher ta réussite devant ceux qui doutaient de toi,2,Émotions,TRUE
16,Musique quand tu as peur,Musique quand tu dois trouver du courage,1,Émotions,TRUE
17,Musique quand tu ne sais plus quelle direction donner à ta vie,Musique pour te lancer dans une nouvelle vie malgré le doute,2,Émotions,TRUE
18,Musique pour imaginer une vie de rêve,Musique pour embellir une journée tout à fait ordinaire,2,Émotions,TRUE
19,Musique quand tu décides enfin de démissionner,Musique quand tu hésites à quitter un travail qui t’épuise,2,Émotions,TRUE
20,Musique pour savourer une attente pleine de promesses,Musique pour supporter une attente qui te rend fou,2,Émotions,TRUE
21,Musique pour te sentir puissant même quand tu es seul,Musique pour impressionner quelqu’un qui te plaît,2,Émotions,TRUE
22,Musique pour savourer le calme après une tempête,Musique pour sentir qu’un danger approche dans le silence,1,Émotions,TRUE
23,Musique quand tu caches ta tristesse derrière un sourire,Musique quand tu assumes enfin ta tristesse devant quelqu’un,2,Émotions,TRUE
24,Musique pour pardonner à quelqu’un et reconstruire le lien,Musique pour partir sans rancune et ne plus revenir,3,Émotions,TRUE
25,Musique pour garder vivant le souvenir d’une histoire d’amour,Musique pour effacer une ancienne histoire d’amour de ta tête,2,Émotions,TRUE
26,Musique pour ralentir une journée qui t’épuise,Musique pour prolonger un moment de bonheur qui passe trop vite,2,Émotions,TRUE
